% 98.1720430108 % of clone sets has asserts no more than 40 and methods no more than 50
x      y      z     
7      2      2     
7      2      2     
7      3      2     
7      3      2     
7      4      2     
7      6      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      2      2     
6      3      2     
6      3      2     
6      3      2     
6      4      2     
6      4      2     
6      4      2     
6      6      2     
5      2      2     
5      2      2     
5      2      2     
5      2      2     
5      3      2     
5      3      2     
5      3      2     
5      4      2     
5      5      2     
5      5      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      2      2     
4      3      2     
4      5      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      2      2     
3      3      2     
3      3      2     
3      3      2     
3      3      2     
3      4      2     
3      4      2     
3      4      2     
3      4      2     
3      4      2     
3      5      2     
3      11     2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      2      2     
2      3      2     
2      3      2     
2      3      2     
2      3      2     
2      3      2     
2      3      2     
2      3      2     
2      4      2     
2      4      2     
2      4      2     
2      5      2     
2      6      2     
2      7      2     
2      9      2     
2      10     2     
1      2      2     
1      2      2     
1      2      2     
1      2      2     
1      2      2     
1      2      2     
1      2      2     
1      3      2     
1      3      2     
1      3      2     
1      4      2     
1      6      2     
1      7      2     
1      11     2     
1      20     2     
33     2      3     
32     2      3     
23     2      3     
22     2      3     
21     2      3     
21     2      3     
20     2      3     
20     2      3     
19     2      3     
18     3      3     
16     2      3     
16     2      3     
16     3      3     
15     3      3     
14     2      3     
14     10     3     
14     10     3     
13     2      3     
13     2      3     
13     10     3     
12     2      3     
12     5      3     
12     6      3     
11     2      3     
11     3      3     
11     5      3     
11     7      3     
10     2      3     
10     2      3     
10     3      3     
10     3      3     
10     13     3     
9      2      3     
9      2      3     
9      2      3     
9      2      3     
9      4      3     
9      6      3     
8      2      3     
8      2      3     
8      2      3     
8      2      3     
8      2      3     
8      2      3     
8      3      3     
8      3      3     
8      4      3     
8      11     3     
7      2      3     
7      2      3     
7      2      3     
7      2      3     
7      5      3     
7      5      3     
7      7      3     
7      10     3     
7      10     3     
6      2      3     
6      2      3     
6      2      3     
6      2      3     
6      2      3     
6      2      3     
6      2      3     
6      3      3     
6      3      3     
6      3      3     
6      4      3     
6      17     3     
6      22     3     
5      2      3     
5      2      3     
5      2      3     
5      2      3     
5      3      3     
5      3      3     
5      3      3     
5      5      3     
5      5      3     
5      6      3     
5      7      3     
5      7      3     
5      9      3     
5      24     3     
4      2      3     
4      2      3     
4      2      3     
4      2      3     
4      2      3     
4      2      3     
4      2      3     
4      3      3     
4      3      3     
4      3      3     
4      3      3     
4      4      3     
4      4      3     
4      5      3     
4      5      3     
4      6      3     
4      7      3     
4      10     3     
4      11     3     
4      14     3     
4      27     3     
4      28     3     
3      2      3     
3      2      3     
3      3      3     
3      3      3     
3      3      3     
3      3      3     
3      3      3     
3      4      3     
3      4      3     
3      4      3     
3      6      3     
3      8      3     
3      11     3     
3      11     3     
3      15     3     
3      15     3     
3      19     3     
3      151    3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      2      3     
2      4      3     
2      4      3     
2      4      3     
2      5      3     
2      5      3     
2      6      3     
2      12     3     
2      19     3     
2      34     3     
2      124    3     
1      7      3     
1      8      3     
1      40     3     
19     2      4     
12     2      4     
9      2      4     
7      2      4     
7      2      4     
7      3      4     
7      3      4     
6      2      4     
6      7      4     
5      2      4     
5      2      4     
5      2      4     
5      2      4     
5      3      4     
5      5      4     
4      2      4     
4      2      4     
4      2      4     
4      2      4     
4      2      4     
4      2      4     
4      10     4     
3      2      4     
3      2      4     
3      5      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      2      4     
2      3      4     
2      3      4     
2      3      4     
2      4      4     
2      9      4     
2      33     4     
1      2      4     
1      2      4     
1      2      4     
1      2      4     
1      2      4     
1      2      4     
1      2      4     
1      2      4     
1      3      4     
1      3      4     
1      4      4     
1      4      4     
1      6      4     
1      8      4     
1      8      4     
1      19     4     
1      55     4     
17     2      5     
15     2      5     
11     2      5     
9      2      5     
9      3      5     
8      2      5     
8      2      5     
8      4      5     
7      2      5     
6      2      5     
6      2      5     
6      2      5     
6      3      5     
6      3      5     
6      8      5     
6      10     5     
5      2      5     
5      3      5     
5      3      5     
4      2      5     
4      2      5     
4      2      5     
4      9      5     
3      2      5     
3      2      5     
3      2      5     
3      2      5     
3      2      5     
3      2      5     
3      3      5     
3      3      5     
3      4      5     
3      4      5     
2      2      5     
2      2      5     
2      2      5     
2      2      5     
2      2      5     
2      3      5     
2      3      5     
2      3      5     
2      4      5     
2      4      5     
2      5      5     
2      5      5     
2      6      5     
1      2      5     
1      2      5     
1      2      5     
1      3      5     
1      3      5     
1      4      5     
1      6      5     
1      12     5     
11     2      6     
5      2      6     
5      2      6     
5      2      6     
5      2      6     
5      2      6     
5      2      6     
5      4      6     
5      5      6     
4      2      6     
4      2      6     
4      2      6     
4      2      6     
4      3      6     
3      2      6     
3      2      6     
3      3      6     
3      3      6     
3      3      6     
3      3      6     
3      4      6     
3      4      6     
3      5      6     
3      5      6     
3      14     6     
2      2      6     
2      2      6     
2      2      6     
2      2      6     
2      3      6     
2      3      6     
2      4      6     
2      4      6     
2      4      6     
1      2      6     
1      3      6     
1      3      6     
1      3      6     
1      3      6     
1      4      6     
1      7      6     
1      10     6     
1      13     6     
1      17     6     
1      41     6     
1      53     6     
12     2      7     
11     2      7     
9      2      7     
8      2      7     
8      5      7     
7      2      7     
6      2      7     
6      3      7     
6      4      7     
5      2      7     
5      2      7     
5      2      7     
5      3      7     
4      2      7     
4      2      7     
4      2      7     
4      2      7     
4      4      7     
4      5      7     
3      2      7     
3      2      7     
2      2      7     
2      2      7     
2      3      7     
2      3      7     
2      3      7     
2      3      7     
2      3      7     
2      4      7     
2      8      7     
2      9      7     
1      7      7     
1      8      7     
1      11     7     
1      22     7     
38     2      8     
23     2      8     
15     2      8     
13     2      8     
11     2      8     
10     4      8     
9      3      8     
8      2      8     
8      3      8     
8      4      8     
7      2      8     
6      2      8     
6      4      8     
5      3      8     
4      2      8     
4      2      8     
3      2      8     
3      2      8     
3      2      8     
3      3      8     
2      2      8     
2      3      8     
1      2      8     
1      3      8     
1      3      8     
1      3      8     
1      6      8     
13     2      9     
6      3      9     
4      2      9     
3      3      9     
3      5      9     
2      2      9     
2      2      9     
1      2      9     
1      2      9     
1      2      9     
1      2      9     
